Dataset,Time elapsed,RC1,K,L,w,r,dist_computed
0,1.3541666666666667,15.947280619224331,8,100,45,2,22
1,3.0520833333333335,1.808932198772154,8,100,70,8,24
2,188.73958333333334,2.9742080275625367,8,100,1000,16,1
0,0.10416666666666667,,4,100,45,2,0
0,0.8541666666666666,,8,100,45,2,15
0,24.53125,,16,100,45,2,2
0,0.640625,,8,10,45,2,15
0,0.875,,8,50,45,2,26
0,0.8489583333333334,,8,100,45,2,10
0,0.6875,,8,150,45,2,14
0,0.5104166666666666,,8,200,45,2,20
0,0.6614583333333334,,8,100,45,2,16
0,1.03125,,8,100,45,8,4249
0,0.8958333333333334,,8,100,45,16,7388
0,6.171875,,8,100,45,32,80102
1,0.09375,,4,100,70,8,0
1,1.2916666666666667,,8,100,70,8,19
1,97.578125,,16,100,70,8,2
1,1.5208333333333333,,8,10,70,8,23
1,2.3697916666666665,,8,50,70,8,10
1,2.328125,,8,100,70,8,18
1,1.890625,,8,150,70,8,5
1,1.9427083333333333,,8,200,70,8,13
1,246.55729166666666,,8,100,70,2,125025
1,2.34375,,8,100,70,8,16
1,2.6302083333333335,,8,100,70,16,2251
1,17.104166666666668,,8,100,70,32,51682
