Dataset,Time elapsed,RC1,K,L,w,r,dist_computed
0,3.3508800446666664,0,4,200,50,8,8
0,2.4453227866666665,0,8,200,50,8,1
0,3.8650211539999995,0,12,200,50,8,1
0,21.153354908333334,0,16,200,50,8,2
1,89.047777246,0,4,200,75,8,41276
1,8.797901779000009,0,8,200,75,8,74
1,46.61876753200003,0,12,200,75,8,8
1,190.394211811,0,16,200,75,8,95
2,60.851269141,0,4,200,500,32,4906
2,17.045401771,0,8,200,500,32,2556
2,18.358276536000005,0,12,200,500,32,1597
2,20.225256411000004,0,16,200,500,32,357
3,49.66817105600012,0,4,200,5000,32,48641
3,277.55222460999994,0,8,200,5000,32,6702
3,1085.190305936,0,12,200,5000,32,30649
3,1666.600245655,0,16,200,5000,32,8407
