Dataset,Time elapsed,RC1,K,L,w,r,dist_computed,Time int
0,0.09480674400000044,0,8,10,50,4,10,0.044553655000000525
0,0.15422831400000003,0,8,50,50,4,3,0.06037112000000011
0,0.17692241900000027,0,8,100,50,4,2,0.06562759000000007
0,0.23346299299999984,0,8,150,50,4,20,0.07810591599999928
0,0.22955666000000008,0,8,200,50,4,2,0.09735989499999942
0,0.49620452400000037,0,8,400,50,4,4,0.12680926300000017
1,0.13399096599999893,0,8,10,75,8,15957,0.06970713900000014
1,0.26411390899999887,0,8,50,75,8,218,0.16575282300000005
1,0.19817611199999874,0,8,100,75,8,87,0.10558570699999947
1,0.2112237799999992,0,8,150,75,8,123,0.10327641399999976
1,0.26140874600000075,0,8,200,75,8,233,0.12326394599999979
1,0.36466134299999986,0,8,400,75,8,78,0.14023574299999986
2,0.22250743700000086,0,8,10,500,16,29,0.1560293890000004
2,0.4245784059999984,0,8,50,500,16,4,0.28913493499999987
2,0.3687552310000015,0,8,100,500,16,7,0.19181426300000126
2,0.48528489799999974,0,8,150,500,16,129,0.2634121580000013
2,0.5918679880000006,0,8,200,500,16,23,0.38305542499999845
2,0.8925706769999984,0,8,400,500,16,3,0.45544742600000276
3,0.7824868179999953,0,8,10,5000,32,1532367,0.6878362270000054
3,1.1669483350000007,0,8,50,5000,32,162600,1.0308690700000014
3,1.4601880359999981,0,8,100,5000,32,124684,1.2973622889999987
3,1.497280840000002,0,8,150,5000,32,97066,1.3369509779999973
3,1.730717294999998,0,8,200,5000,32,83937,1.5745046649999992
3,4.0668351270000045,0,8,400,5000,32,153111,3.8002224080000033
