Dataset,Time elapsed,RC1,K,L,w,r,dist_computed
0,5.269255514256656,0,8,200,50,4,8
0,5.094908120110631,0,8,200,50,8,16
0,5.270509229972959,0,8,200,50,16,1288
0,5.819895441643894,0,8,200,50,32,3640
0,5.226148161105812,0,8,200,50,4,8
0,5.234919435344636,0,8,200,50,8,24
0,5.527835527434945,0,8,200,50,16,576
0,7.089636710472405,0,8,200,50,32,3424
0,5.282097690738738,0,8,200,50,4,8
0,5.239495432935655,0,8,200,50,8,24
0,5.559121896512806,0,8,200,50,16,1192
0,7.3351335022598505,0,8,200,50,32,7064
1,7.958837256766856,0,8,200,75,4,367037
1,5.495943520218134,0,8,200,75,8,1170
1,5.72870600130409,0,8,200,75,16,19347
1,8.439354375936091,0,8,200,75,32,191045
1,9.271417944692075,0,8,200,75,4,435899
1,5.434114811010659,0,8,200,75,8,762
1,5.7144923051819205,0,8,200,75,16,18760
1,7.992292931303382,0,8,200,75,32,265837
1,7.07074985653162,0,8,200,75,4,97967
1,5.416373418644071,0,8,200,75,8,976
1,5.707574005238712,0,8,200,75,16,16016
1,9.32400091830641,0,8,200,75,32,270645
2,150.17471122834831,0,8,200,500,4,42519
2,46.85374961979687,0,8,200,500,8,20
2,16.660555576905608,0,8,200,500,16,4
2,13.091323741711676,0,8,200,500,32,121
2,160.1897854246199,0,8,200,500,4,57695
2,26.5536276884377,0,8,200,500,8,4
2,18.475715342909098,0,8,200,500,16,4
2,12.729076518677175,0,8,200,500,32,52
2,153.7154011055827,0,8,200,500,4,49078
2,42.91744245495647,0,8,200,500,8,32
2,17.680191689170897,0,8,200,500,16,12
2,13.399232374504209,0,8,200,500,32,146
3,294.79474584851414,0,8,200,5000,4,4980682
3,109.86815013829619,0,8,200,5000,8,706351
3,53.61172281391919,0,8,200,5000,16,10506
3,34.49558802973479,0,8,200,5000,32,128609
0,0.3088937774300575,0,8,200,50,4,8
0,0.3500115992501378,0,8,200,50,8,72
0,0.6188963958993554,0,8,200,50,16,1488
0,1.7566397720947862,0,8,200,50,32,4624
1,0.6152114570140839,0,8,200,75,4,14
1,0.4526366014033556,0,8,200,75,8,286
1,0.6524718524888158,0,8,200,75,16,3831
1,11.176685991697013,0,8,200,75,32,916304
2,59.788376233540475,0,8,200,500,4,627
2,31.36604919284582,0,8,200,500,8,4
2,6.5974732814356685,0,8,200,500,16,4
2,7.905856471508741,0,8,200,500,32,48
0,0.2772002130000004,0,8,200,50,4,2
0,0.2159988429999995,0,8,200,50,8,16
0,0.20553907100000046,0,8,200,50,16,326
0,0.2766384249999998,0,8,200,50,32,4675
1,0.46748597799999914,0,8,200,75,4,611
1,0.2592711769999987,0,8,200,75,8,187
1,0.29380449499999983,0,8,200,75,16,2426
1,0.35174980599999905,0,8,200,75,32,239255
2,0.784456715000001,0,8,200,500,4,3649
2,0.7445683259999996,0,8,200,500,8,60
2,0.4717282090000019,0,8,200,500,16,103
2,0.4083671609999975,0,8,200,500,32,32
3,2.584434959999996,0,8,200,5000,4,6923299
3,2.4378681719999946,0,8,200,5000,8,1274921
3,2.1551000790000074,0,8,200,5000,16,126052
3,1.6225351300000028,0,8,200,5000,32,90680
4,0,0,8,200,300,4,5200000000
4,0,0,8,200,300,8,495805500
4,0,0,8,200,300,16,79805500
4,0,0,8,200,300,32,879805500
5,0,0,8,200,1000,4,1798055
5,0,0,8,200,1000,8,442
5,0,0,8,200,1000,16,32065
5,0,0,8,200,1000,32,86743
