Dataset,Time elapsed,RC1,K,L,w,r,dist_computed,Time int
0,0.7403949191793799,0,8,200,50,4,8,
0,0.3241191916167736,0,4,200,50,4,16,
0,0.509541136212647,0,8,200,50,4,8,
0,0.96244559250772,0,12,200,50,4,8,
0,1.615293126553297,0,16,200,50,4,8,
0,0.2179609928280115,0,8,10,50,4,8,0.09509417973458767
0,0.22941631451249123,0,8,50,50,4,8,0.11945722252130508
0,0.28055165987461805,0,8,100,50,4,8,0.15883921179920435
0,0.32691604644060135,0,8,150,50,4,24,0.1928019030019641
0,0.4503219509497285,0,8,200,50,4,8,0.2192307272925973
0,0.6025657588616014,0,8,400,50,4,8,0.3449659151956439
0,0.3088937774300575,0,8,200,50,4,8,
0,0.3500115992501378,0,8,200,50,8,72,
0,0.6188963958993554,0,8,200,50,16,1488,
0,1.7566397720947862,0,8,200,50,32,4624,
