dataset,dim,Distance,Time (s)
0, 2, 0.30, 0.75
0, 3, 0.69, 0.75
0, 4, 1.09, 0.75
0, 5, 1.55, 0.75
0, 6, 2.08, 0.75
0, 7, 2.86, 0.75
0, 8, 3.62, 0.75
1, 2, 6.8, 0.44
1, 3, 15.1, 0.56
1, 4, 29.56, 0.89
1, 5, 43.13, 0.89
2, 2, 4.86, 2
2, 3, 10.46, 2
2, 4, 16.45, 8
2, 5, 22.79, 10
2, 6, 29, 10
2, 7, 36, 10
2, 8, 43, 10
2, 9, 51, 10
2, 10, 64.84, 10
2, 15, 116.7, 10
2, 20, 193, 10
2, 22, 212, 10
2, 23, 232, 10
2, 24, 251, 10
2 ,25, 271, 10
2, 26, 292, 10
2, 27, 312, 10
2, 28, 334, 10
2, 29, 359, 10
2, 30, 386,10
2, 31, 413, 10
2, 32, 442, 10
3, 2, 9.5, 21
3, 3, 25.5, 24
3, 4, 49, 29
3, 5, 77, 32
3, 6, 120, 32
3, 7, 192, 32
3, 8, 261, 33
