Dataset, noise, val,a,b,c
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
0, 4, 1, 1, 1, 1
0, 16, 1, 1, 1, 1
0, 32, 1, 1, 1, 1
0, 128, 1, 1, 1, 1
0, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 256, 0.75, 1, 1, 1
1, 256, 1, 1, 1, 1
1, 128, 0.8, 1, 1, 1 
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
1, 4, 1, 1, 1, 1 
1, 16, 1, 1, 1, 1
1, 32, 1, 1, 1, 1
1, 128, 1, 1, 1, 1 
1, 256, 1, 1, 1, 1
