Dataset,Time elapsed,RC1,K,L,w,r,dist_computed,Time int
0,0.24451962633333343,0,8,200,50,4,2,
0,0.1572616779999998,0,4,200,50,4,8,
0,0.2012166569999998,0,8,200,50,4,1,
0,0.35150504700000074,0,12,200,50,4,6,
0,0.6696022509999997,0,16,200,50,4,9,
0,0.09480674400000044,0,8,10,50,4,10,0.044553655000000525
0,0.15422831400000003,0,8,50,50,4,3,0.06037112000000011
0,0.17692241900000027,0,8,100,50,4,2,0.06562759000000007
0,0.23346299299999984,0,8,150,50,4,20,0.07810591599999928
0,0.22955666000000008,0,8,200,50,4,2,0.09735989499999942
0,0.49620452400000037,0,8,400,50,4,4,0.12680926300000017
0,0.2772002130000004,0,8,200,50,4,2,
0,0.2159988429999995,0,8,200,50,8,16,
0,0.20553907100000046,0,8,200,50,16,326,
0,0.2766384249999998,0,8,200,50,32,4675,
