Dataset,Time elapsed,RC1,K,L,w,r,dist_computed
2,125.24853994166666,0,8,200,500,32,81342
2,60.851269141,0,4,200,500,32,4906
2,17.045401771,0,8,200,500,32,2556
2,18.358276536000005,0,12,200,500,32,1597
2,20.225256411000004,0,16,200,500,32,357
2,8.388548194999998,0,8,10,500,32,2837
2,9.81342798099999,0,8,50,500,32,2920
2,12.268399020999993,0,8,100,500,32,2486
2,14.206171505000015,0,8,150,500,32,1928
2,16.997003363999994,0,8,200,500,32,2369
2,29.031898136999985,0,8,400,500,32,3194
2,227.76668704,0,8,200,500,2,8
2,24.27295849800001,0,8,200,500,8,1
2,10.14288684799999,0,8,200,500,16,222
2,10.702139555999963,0,8,200,500,32,1264
