Dataset,Time elapsed,RC1,K,L,w,r,dist_computed
0,66.97735251533334,0,8,200,50,2,2
0,2.3704259976666626,0,8,200,50,8,1
0,3.8853973226666767,0,8,200,50,16,7
0,12.610745175666674,0,8,200,50,32,11
1,157.5047882363333,0,8,200,75,2,1447
1,9.240137050999996,0,8,200,75,8,128
1,81.04911334033325,0,8,200,75,16,44619
1,72.38661043266666,0,8,200,75,32,67719
2,227.76668704,0,8,200,500,2,8
2,24.27295849800001,0,8,200,500,8,1
2,10.14288684799999,0,8,200,500,16,222
2,10.702139555999963,0,8,200,500,32,1264
3,1289.1958621940003,0,8,200,5000,2,203531
3,1116.489708555,0,8,200,5000,8,113329
3,886.1508122740006,0,8,200,5000,16,60944
3,192.50664923699878,0,8,200,5000,32,2484
